code|name|decimales|porcentaje_variacion
AED|Dirham de los Emiratos Árabes Unidos|2|35
AFN|Afgani afgano|2|35
ALL|Lek albanés|2|35
AMD|Dram armenio|2|35
ANG|Florín antillano neerlandés|2|35
AOA|Kwanza angoleño|2|35
ARS|Peso argentino|2|35
AUD|Dólar australiano|2|35
AWG|Florín arubeño|2|35
AZN|Manat azerbaiyano|2|35
BAM|Marco convertible de Bosnia-Herzegovina|2|35
BBD|Dólar de Barbados|2|35
BDT|Taka de Bangladés|2|35
BGN|Lev búlgaro|2|35
BHD|Dinar bahreiní|2|35
BIF|Franco burundés|2|35
BMD|Dólar de Bermuda|2|35
BND|Dólar de Brunéi|2|35
BOB|Boliviano|2|35
BOV|Mvdol boliviano (código de fondos)|2|35
BRL|Real brasileño|2|35
BSD|Dólar bahameño|2|35
BTN|Ngultrum de Bután|2|35
BWP|Pula de Botsuana|2|35
BYR|Rublo bielorruso|2|35
BZD|Dólar de Belice|2|35
CAD|Dólar canadiense|2|35
CDF|Franco congoleño, o congolés|2|35
CHF|Franco suizo|2|35
CLF|Unidades de fomento chilenas (código de fondos)|2|35
CLP|Peso chileno|2|35
CNY|Yuan chino|2|35
COP|Peso colombiano|2|35
COU|Unidad de valor real colombiana (añadida al COP)|2|35
CRC|Colón costarricense|2|35
CSD|Dinar serbio (Reemplazado por RSD el 25 de octubre de 2006)|2|35
CUP|Peso cubano|2|35
CUC|Peso cubano convertible|2|35
CVE|Escudo caboverdiano|2|35
CZK|Koruna checa|2|35
DJF|Franco yibutiano|2|35
DKK|Corona danesa|2|35
DOP|Peso dominicano|2|35
DZD|Dinar argelino|2|35
EGP|Libra egipcia|2|35
ERN|Nakfa eritreo|2|35
ETB|Birr etíope|2|35
EUR|Euro|2|35
FJD|Dólar fiyiano|2|35
FKP|Libra malvinense|2|35
GBP|Libra esterlina (libra de Gran Bretaña)|2|35
GEL|Lari georgiano|2|35
GHS|Cedi ghanés|2|35
GIP|Libra de Gibraltar|2|35
GMD|Dalasi gambiano|2|35
GNF|Franco guineano|2|35
GTQ|Quetzal guatemalteco|2|35
GYD|Dólar guyanés|2|35
HKD|Dólar de Hong Kong|2|35
HNL|Lempira hondureño|2|35
HRK|Kuna croata|2|35
HTG|Gourde haitiano|2|35
HUF|Forint húngaro|2|35
IDR|Rupiah indonesia|2|35
ILS|Nuevo shéquel israelí|2|35
