id,code,name
c_Aduana_01,01,"ACAPULCO, ACAPULCO DE JUAREZ, GUERRERO."
c_Aduana_02,02,"AGUA PRIETA, AGUA PRIETA, SONORA."
c_Aduana_05,05,"SUBTENIENTE LOPEZ, SUBTENIENTE LOPEZ, QUINTANA ROO."
c_Aduana_06,06,"CIUDAD DEL CARMEN, CIUDAD DEL CARMEN, CAMPECHE."
c_Aduana_07,07,"CIUDAD JUAREZ, CIUDAD JUAREZ, CHIHUAHUA."
c_Aduana_08,08,"COATZACOALCOS, COATZACOALCOS, VERACRUZ."
c_Aduana_11,11,"ENSENADA, ENSENADA, BAJA CALIFORNIA."
c_Aduana_12,12,"GUAYMAS, GUAYMAS, SONORA."
c_Aduana_14,14,"LA PAZ, LA PAZ, BAJA CALIFORNIA SUR."
c_Aduana_16,16,"MANZANILLO, MANZANILLO, COLIMA."
c_Aduana_17,17,"MATAMOROS, MATAMOROS, TAMAULIPAS."
c_Aduana_18,18,"MAZATLAN, MAZATLAN, SINALOA."
c_Aduana_19,19,"MEXICALI, MEXICALI, BAJA CALIFORNIA."
c_Aduana_20,20,"MEXICO, DISTRITO FEDERAL."
c_Aduana_22,22,"NACO, NACO, SONORA."
c_Aduana_23,23,"NOGALES, NOGALES, SONORA."
c_Aduana_24,24,"NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS."
c_Aduana_25,25,"OJINAGA, OJINAGA, CHIHUAHUA."
c_Aduana_26,26,"PUERTO PALOMAS, PUERTO PALOMAS, CHIHUAHUA."
c_Aduana_27,27,"PIEDRAS NEGRAS, PIEDRAS NEGRAS, COAHUILA."
c_Aduana_28,28,"PROGRESO, PROGRESO, YUCATAN."
c_Aduana_30,30,"CIUDAD REYNOSA, CIUDAD REYNOSA, TAMAULIPAS."
c_Aduana_31,31,"SALINA CRUZ, SALINA CRUZ, OAXACA."
c_Aduana_33,33,"SAN LUIS RIO COLORADO, SAN LUIS RIO COLORADO, SONORA."
c_Aduana_34,34,"CIUDAD MIGUEL ALEMAN, CIUDAD MIGUEL ALEMAN, TAMAULIPAS."
c_Aduana_37,37,"CIUDAD HIDALGO, CIUDAD HIDALGO, CHIAPAS."
c_Aduana_38,38,"TAMPICO, TAMPICO, TAMAULIPAS."
c_Aduana_39,39,"TECATE, TECATE, BAJA CALIFORNIA."
c_Aduana_40,40,"TIJUANA, TIJUANA, BAJA CALIFORNIA."
c_Aduana_42,42,"TUXPAN, TUXPAN DE RODRIGUEZ CANO, VERACRUZ."
c_Aduana_43,43,"VERACRUZ, VERACRUZ, VERACRUZ."
c_Aduana_44,44,"CIUDAD ACUÑA, CIUDAD ACUÑA, COAHUILA."
c_Aduana_46,46,"TORREON, TORREON, COAHUILA."
c_Aduana_47,47,"AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,"
c_Aduana_48,48,"GUADALAJARA, TLACOMULCO DE ZUÑIGA, JALISCO."
c_Aduana_50,50,"SONOYTA, SONOYTA, SONORA."
c_Aduana_51,51,"LAZARO CARDENAS, LAZARO CARDENAS, MICHOACAN."
c_Aduana_52,52,"MONTERREY, GENERAL MARIANO ESCOBEDO, NUEVO LEON."
c_Aduana_53,53,"CANCUN, CANCUN, QUINTANA ROO."
c_Aduana_64,64,"QUERÉTARO, EL MARQUÉS Y COLON, QUERÉTARO."
c_Aduana_65,65,"TOLUCA, TOLUCA, ESTADO DE MEXICO."
c_Aduana_67,67,"CHIHUAHUA, CHIHUAHUA, CHIHUAHUA."
c_Aduana_73,73,"AGUASCALIENTES, AGUASCALIENTES, AGUASCALIENTES."
c_Aduana_75,75,"PUEBLA, HEROICA PUEBLA DE ZARAGOZA, PUEBLA."
c_Aduana_80,80,"COLOMBIA, COLOMBIA, NUEVO LEON."
c_Aduana_81,81,"ALTAMIRA, ALTAMIRA, TAMAULIPAS."
c_Aduana_82,82,"CIUDAD CAMARGO, CIUDAD CAMARGO, TAMAULIPAS."
c_Aduana_83,83,"DOS BOCAS, PARAISO, TABASCO."
c_Aduana_84,84,"GUANAJUATO, SILAO, GUANAJUATO."
